"행사ID","행사명","장소","행사내용","행사시작일자","행사종료일자","행사시작시각","행사종료시각","요금정보","입장연령","주차장보유여부","소재지도로명주소","소재지지번주소","위도","경도"
6740,"한수원프리미어<장하나&미샤마이스키&디토오케스트라>","경주예술의전당(화랑홀)","클래식",23/09/21,23/09/21,"20:00","22:00","유료","초등학생이상관람가능","Y","경상북도 경주시 알천북로 1","경상북도 경주시 황성동 988",35.86235686,129.2059986
6741,"한수원 문화가 있는 날 <퀸 엘리자베스 콩쿠르 위너스 콘서트>","경주예술의전당(화랑홀)","클래식",23/09/24,23/09/24,"20:00","21:30","유료","초등학생이상관람가능","Y","경상북도 경주시 알천북로 1","경상북도 경주시 황성동 988",35.86235686,129.2059986
6742,"한수원 문화가 있는 날 <지브리 페스티벌>","경주예술의전당(화랑홀)","클래식",23/10/28,23/10/28,"20:00","21:30","유료","초등학생이상관람가능","Y","경상북도 경주시 알천북로 1","경상북도 경주시 황성동 988",35.86235686,129.2059986
6743,"한수원프리미어<이승철 전국투어 콘서트>","경주예술의전당(화랑홀)","콘서트",23/11/04,23/11/04,"17:00","19:30","유료","초등학생이상관람가능","Y","경상북도 경주시 알천북로 1","경상북도 경주시 황성동 988",35.86235686,129.2059986
6744,"2023 조희창의 <토요 클래식 살롱> - series 5.","경주예술의전당(원화홀)","클래식",23/11/11,23/11/11,"17:00","18:20","유료","초등학생이상관람가능","Y","경상북도 경주시 알천북로 1","경상북도 경주시 황성동 988",35.86235686,129.2059986
6745,"한수원 문화가 있는 날 <최백호 콘서트>","경주예술의전당(화랑홀)","콘서트",23/11/25,23/11/25,"17:00","19:00","유료","초등학생이상관람가능","Y","경상북도 경주시 알천북로 1","경상북도 경주시 황성동 988",35.86235686,129.2059986
5999,"2023 제23회 동두천락페스티벌","소요산 주차장 특설무대","락밴드 경연대회 및 락 뮤지션 초청 공연",23/08/25,23/08/26,"14:00","21:00","무료","제한 X","Y","주소 X","경기도 동두천시 상봉암동 10",37.94575168,127.063992
6000,"2023년 제15회 대한민국청소년트로트가요제","보산동 야외무대","대한민국 청소년 트로트 경연대회 in 동두천",23/08/19,23/08/19,"18:00","21:00","무료","제한 X","Y","주소 X","경기도 동두천시 보산동 429-19",37.91656508,127.0563771
6001,"제18회 동두천 종합예술제","지행역광장","예총 산하 8개지부 종합예술제",23/05/20,23/05/20,"15:00","19:00","무료","제한 X","Y","경기도 동두천시 평화로 2285","경기도 동두천시 지행동 481-1",37.89187746,127.0556642
6002,"소요산 관광객과 함께하는 새봄맞이 콘서트","소요산 야외음악당","노인들을 위한 위안 공연",23/05/07,23/05/07,"14:00","16:00","무료","제한 X","Y","경기도 동두천시 평화로 2910번길 145","경기도 동두천시 상봉암동 산 1-1",37.94651817,127.0693409
