"축제ID","축제명","개최장소","축제시작일자","축제종료일자","축제내용","홈페이지주소","소재지도로명주소","소재지지번주소","위도","경도"
1266,"9월 마토예술제<지구의 안정을 지켜라>","안정리예술인광장",22/09/23,22/09/23,"환경 및 제로웨이스트 테마 공연+체험+전시","https://www.pccf.or.kr/","경기도 평택시 팽성읍 안정쇼핑로11","경기도 평택시 팽성읍 안정리113-1",36.95955991,127.043999
1267,"평택 원평나루억새축제","원평나루",23/10/14,23/10/14,"체험+공연+억새+노을+먹거리","http://평택억새축제.com/","주소 X","경기도 평택시 평택동 230-2",36.983401,127.080492
1268,"11월 마토예술제","안정리예술인광장",23/11/25,23/11/25,"체험+전시","https://www.pccf.or.kr/","경기도 평택시 팽성읍 안정쇼핑로11","경기도 평택시 팽성읍 안정리113-1",36.95955991,127.043999
1269,"2023 크리스마스 축제","평택역 광장, 신장 쇼핑몰, 현화근린공원",23/11/25,24/01/25,"전시+점등식","https://www.pccf.or.kr/","경기도 평택시 중앙로 277","경기도 평택시 비전동 847",36.991134,127.114086
1270,"강서 낙동강30리 벚꽃축제(2023년)","대저생태공원",23/03/31,23/04/02,"벚꽃길 걷기대회/체험행사/문화행사","http://www.bsgangseo.go.kr","주소 X","부산광역시 강서구 대저1동 1-17",35.20933921,128.9865079
1271,"여수영취산진달래체험행사","영취산일원 및 흥국사 산림공원",24/03/23,24/03/24,"산신제+개막식+체험행사+산악인등반대회 등","http://yeosujindalrae.co.kr/","전라남도 여수시 흥국사길 160","전라남도 여수시 중흥동 17",34.82281621,127.7016059
1272,"여수거북선축제","이순신광장 일원, 거북선공원",24/05/03,24/05/06,"통제영길놀이+개막행사+각종체험공연행사","www.jinnamje.com","전라남도 여수시 이순신광장로 95","전라남도 여수시 중앙동 385-6번지 등",34.73922445,127.7365808
1273,"여수여자만갯벌노을체험행사","소라면 장척마을 일원",24/09/01,24/09/01,"대나무망둥어낚시+개매기+바지락캐기+맨손고기잡이+가족사랑걷기체험+노을가요제","홈페이지 정보 없음","전라남도 여수시 소라면 서부로 785-24","주소 X",34.7902433,127.5679754
1274,"거문도백도은빛바다체험행사","삼산면 거문도 일원",24/08/01,24/08/01,"길놀이+개막식+맨손활어잡기+지인망끌기체험","홈페이지 정보 없음","전라남도 여수시 삼산면 거문길 28-10","전라남도 여수시 삼산면 거문리 111-35",34.02575979,127.311945
1275,"여수밤바다 불꽃축제","이순신 광장 및 장군도 앞 해상",24/08/01,24/08/01,"공연행사+불꽃쇼+불꽃사진콘테스트","https://www.yeosu.go.kr/ysff","주소 X","전라남도 여수시 중앙동 385-6",34.7388016,127.7366067
1276,"여수향일암일출제","돌산읍 임포마을 일원",24/12/31,25/01/01,"재야의종타종식+일출기원제례+소망행사","홈페이지 정보 없음","전라남도 여수시 향일암로 60 종무소","전라남도 여수시 돌산읍 율림리 산7",34.59379448,127.8029861
1277,"연천구석기축제","연천전곡리유적",24/05/03,24/05/06,"선사문화체험+전시+이벤트","https://www.yeoncheon.go.kr/festival/","경기도 연천군 전곡읍 양연로 1510","경기도 연천군 전곡읍 전곡리 515",38.01564838,127.0614526
1278,"동래읍성역사축제","동래문화회관+읍성광장+온천장 일원",24/10/11,24/10/13,"동래부사행차길놀이+동래성저전투재현 뮤지컬+동래세가닥줄다리기+동래장터 체험 등","https://www.dongnae.go.kr/festival/index.dongnae?contentsSid=169","부산광역시 동래구 문화로 80(명륜동)","부산광역시 동래구 명륜동 137",35.21195069,129.090546
1279,"익산서동축제","금마면 서동공원",24/05/03,24/05/06,"무왕제례+유등전시+개막행사+공연+전시+체험","https://seodong.iksan.go.kr/","전북특별자치도 익산시 금마면 고도9길 41-14","전북특별자치도 익산시 금마면 동고도리 526",36.00153176,127.0570709
1280,"전통산사문화재","원효사 일원",23/02/01,23/12/31,"원효사일대 체험 프로그램","http://www.wonhyosa.org/29","광주광역시 북구 무등로 1514-35","광주광역시 북구 금곡동 846",35.14863464,126.985744
